"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"learning-rate-sensitivity"
"11/02/2025 23:41:49:746 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"80","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.17620932254573304","0","7.075571484976047E-7"
"81","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.13016952191066827","0","1.983814660201173E-5"
"79","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.18883491411482636","0","1.1545832512872513E-7"
"75","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.19042204483211098","0","1.833439589518696E-8"
"63","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.18392215206920873","0","2.4286436143956683E-7"
"69","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.16882610762498504","0","5.006643454033312E-7"
"85","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.14022185526361464","0","2.7706133098958534E-7"
"83","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.19205578249228925","0","2.852364736551783E-6"
"82","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.18207063788372033","0","5.789965972003664E-6"
"84","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.19777204427889353","0","1.363426663281964E-7"
"86","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.19617531232560156","0","4.37560295199057E-7"
"87","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.17982360943983994","0","1.5656291399686466E-6"
"88","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.20103168387209777","0","2.1396518135028501E-7"
"89","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.1586113014972278","0","1.2566969891713236E-6"
"90","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.17030788001193278","0","1.6107340990402377E-6"
