"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"initial-trust-effect"
"11/02/2025 23:42:00:297 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size"
"72","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5740792741649613","1"
"78","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.29501799377115046","0"
"80","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.34918151413348897","0"
"74","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6563525400028349","1"
"82","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.286465716113822","0"
"83","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.23526906834860692","0"
"85","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.28844741522347944","0"
"81","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2378415472721601","0"
"86","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.28518584105474576","0"
"79","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.32126765723549205","0"
"87","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2691835773734644","0"
"88","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.28095566847744147","0"
"94","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.2741018913939221","0"
"95","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.25320026635339693","0"
"96","200","6","5","small-world","false","0.2","0.1","0.35","0.15","3","10","false","200","false","500","500","1","0.29333040214924255","0"
