"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"network-structure-effect"
"11/02/2025 23:41:21:910 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5]","variance [belief] of turtles"
"62","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3239566274613881","0","8.105583929929871E-7"
"59","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3699321302097433","0","2.0299251964953916E-6"
"58","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3395602071149416","0","1.3946080680535058E-7"
"65","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.339644314244703","0","3.4105324538019463E-6"
"60","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3379245956932235","0","7.188278711513855E-6"
"63","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3432671766289077","0","5.417811152806635E-6"
"70","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3754484652445569","0","2.5357928569108224E-7"
"72","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.2943833341029193","0","2.5690697366636592E-6"
"66","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3774067115375501","0","3.952479908728202E-7"
"71","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37123422991108","0","7.289517243686159E-6"
"77","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3830520269428865","0","5.5226069934284385E-9"
"67","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3496044863229534","0","1.025831836933241E-7"
"68","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33584585111752474","0","1.6406319349859066E-5"
"78","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3826568143154729","0","4.314572443642293E-6"
"75","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34358801253384363","0","1.1184526889991828E-6"
"79","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3312969648912528","0","6.742861226565644E-6"
"76","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.30209478288741504","0","1.5390662767897442E-6"
"61","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36433985805693403","0","1.65709021536984E-6"
"74","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35222464209728954","0","2.6430721085437344E-6"
"69","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37333255814364974","0","7.404110440852152E-5"
"56","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4263774706894294","0","5.135114629563412E-7"
"80","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.330979049667475","0","2.2200118072672818E-6"
"64","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.428227925698732","0","4.71556561155391E-7"
"73","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3577293563882303","0","7.46051986370105E-7"
"81","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3498001685185432","0","3.529835170660084E-21"
"83","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35248352117044335","0","3.091999478382922E-20"
"82","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40512504518301723","0","1.1024542711708791E-20"
"86","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3864950542077801","0","4.4374182634663453E-20"
"84","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33405726812197906","0","3.9882347201606244E-19"
"87","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3548141636999384","0","9.681667603363674E-23"
"90","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3936878797327496","0","1.898026192333265E-18"
"93","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4185085380778098","0","1.4791979954200796E-20"
"89","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41566764233841336","0","1.4122934779676422E-17"
"88","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36950578761168773","0","1.2974788069612767E-18"
"91","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35103589506290434","0","1.0583575635374367E-19"
"96","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37149572767805256","0","8.099230677088279E-21"
"99","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39786203590834135","0","1.7885757377061232E-22"
"92","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4261941369596885","0","4.674963357511978E-24"
"94","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35374383038771695","0","8.316072463920941E-19"
"85","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4443456428410542","0","7.86927990828774E-25"
"100","200","6","5","scale-free","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3703628625201157","0","6.736818671621456E-21"
