"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"heterogeneity-effect"
"11/02/2025 23:41:04:682 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","ticks"
"69","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3224118372675925","0","500"
"72","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36775902587441545","0","500"
"80","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34768282794057315","0","500"
"79","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.32356858629445767","0","500"
"83","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3900079222200931","0","500"
"81","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3181709283620344","0","500"
"82","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.340653685642475","0","500"
"68","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39205728092561776","0","500"
"86","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40375055668029225","0","500"
"84","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3407155345664284","0","500"
"65","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42756438258002677","0","500"
"77","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3930996026849719","0","500"
"85","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3750927788400562","0","500"
"88","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37391636956743907","0","500"
"87","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.30337979949504307","0","500"
"92","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40672310956642826","0","500"
"91","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42607863237026405","0","500"
"94","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.30270042794015883","0","500"
"95","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3170322781688054","0","500"
"96","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3565154440923588","0","500"
"99","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.31037718569573985","0","500"
"93","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38590971615408326","0","500"
"98","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3744477128804822","0","500"
"97","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3159060247204629","0","500"
"101","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35089504228920676","0","500"
"103","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33327583367008096","0","500"
"104","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3566470525810865","0","500"
"100","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3212424117980621","0","500"
"105","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34853801733115886","0","500"
"89","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3812424303148844","0","500"
"106","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35411213850256223","0","500"
"102","200","6","5","small-world","true","0.35","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.349726778154369","0","500"
"109","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3676494232300315","0","500"
"107","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40442995643558066","0","500"
"108","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33462029364791207","0","500"
"90","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.39044476693323765","0","500"
"110","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.34282050079043436","0","500"
"111","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4216755319691389","0","500"
"112","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36534109582868896","0","500"
"116","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33399071766020705","0","500"
"119","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.32828727595536805","0","500"
"113","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.348405156762952","0","500"
"115","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33063504000024196","0","500"
"120","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42124827137894383","0","500"
"118","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36068158946958817","0","500"
"114","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33993086139782286","0","500"
"117","200","6","5","small-world","false","0.05","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4418105649210058","0","500"
"121","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37830709855079675","0","500"
"123","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3784670418550281","0","500"
"125","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3452990476566712","0","500"
"122","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42629394299379636","0","500"
"126","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4132699410582524","0","500"
"124","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33453941286222255","0","500"
"127","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4225136696112849","0","500"
"128","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4284607737982566","0","500"
"134","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3211775310699922","0","500"
"131","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3197569178977012","0","500"
"130","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3361505757836358","0","500"
"133","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35410528639953237","0","500"
"129","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3422239703531184","0","500"
"140","200","6","5","small-world","false","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3001521242014923","0","500"
"132","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41210374272764","0","500"
"135","200","6","5","small-world","false","0.1","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38147226532625084","0","500"
