"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"full-factorial-analysis"
"11/02/2025 23:42:19:821 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"77","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4305904992328118","0.4305904992328118","0","1.9415921976200758E-20"
"76","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4885218796058543","0.4885218796058543","0","1.6979772632911595E-30"
"72","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4737297241914294","0.4737297241914294","0","2.2088479942078803E-24"
"74","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5009373293948675","0.5009373293948675","1","1.477687174569541E-21"
"79","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4928701419042242","0.4928701419042242","0","2.5445347713084475E-30"
"81","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.34630087964822276","0.34630087964822276","0","5.957272509701331E-21"
"86","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3527651861354514","0.3527651861354514","0","4.1190325839753667E-23"
"89","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.30151091198290386","0.30151091198290386","0","2.032176130121318E-19"
"84","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.33274526784850955","0.33274526784850955","0","3.030663627353789E-20"
"85","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.2634137602409127","0.2634137602409127","0","1.5775756047996876E-14"
"82","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3934272493382219","0.3934272493382219","0","1.2239542165479645E-18"
"87","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.28384803794331687","0.28384803794331687","0","3.5829476297814636E-18"
"83","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.2760988156663647","0.2760988156663647","0","2.1146047783892373E-18"
"91","200","6","5","random","true","0.3","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4112201204307979","0.4112201204307979","0","8.848051217872294E-32"
"90","200","6","5","random","true","0.3","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.32421358086542895","0.32421358086542895","0","3.8107405854516335E-17"
"80","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.5024595781250365","0.5024595781250365","1","9.023368888814797E-24"
